income,total_debt,num_late_payments,payment_history_score,credit_utilization,age,employment_years,loan_purpose,target,debt_to_income,avg_payment_delay,credit_score_cat
78166,9426,1,300,124,39,5,personal,0,0.12058797190630317,0.16666666666666666,low
64824,13504,9,300,200,60,1,personal,0,0.20831469340532202,4.5,low
44817,17649,1,300,200,37,14,personal,0,0.39379267258690703,0.06666666666666667,low
27888,33073,5,300,174,33,9,car,0,1.1858797375309262,0.5,low
49056,28151,1,300,200,71,2,home,0,0.5738426728091811,0.3333333333333333,low
44849,23172,6,300,3,40,20,business,0,0.5166555183946488,0.2857142857142857,low
19116,16794,4,300,5,48,16,car,0,0.8784851179578386,0.23529411764705882,low
54848,3713,3,300,187,30,3,home,0,0.0676949443016281,0.75,low
39468,13346,2,300,84,48,7,education,0,0.33813879247003975,0.25,low
59872,40576,3,300,122,29,11,home,0,0.6777011340671087,0.25,low
31430,25978,0,300,117,57,13,personal,0,0.8265088606789476,0.0,low
35293,14159,1,300,112,30,20,car,0,0.40117300391001304,0.047619047619047616,low
38289,29910,3,300,3,58,14,business,0,0.7811439018020371,0.2,low
26278,8212,3,300,169,45,6,car,0,0.3124928650253054,0.42857142857142855,low
69644,43136,12,300,200,51,12,education,0,0.619369660420705,0.9230769230769231,low
16540,19100,5,300,111,43,9,education,0,1.1547064869113113,0.5,low
63742,2520,1,300,103,32,10,home,0,0.039533752725789496,0.09090909090909091,low
33668,10105,1,300,52,30,17,personal,0,0.3001277139208174,0.05555555555555555,low
20748,25010,2,300,82,31,8,personal,0,1.2053592944238276,0.2222222222222222,low
21227,21249,0,300,91,27,18,personal,0,1.0009892594686263,0.0,low
76420,23745,7,300,200,69,0,personal,0,0.31071302390704125,7.0,low
63889,21144,4,300,126,29,1,education,0,0.33094380967287523,2.0,low
29366,35623,4,300,200,41,7,personal,0,1.213028228964484,0.5,low
42075,20841,1,300,13,40,1,home,0,0.49531799600722504,0.5,low
50121,51255,4,300,93,35,4,home,0,1.0226048441802003,0.8,low
15631,22709,3,300,192,74,19,home,0,1.4527251791197544,0.15,low
28608,1306,4,300,200,45,11,car,0,0.04564997028906987,0.3333333333333333,low
36382,27368,4,300,50,27,2,car,0,0.7522194431465244,1.3333333333333333,low
27023,1686,1,300,182,40,3,car,0,0.06238898756660746,0.25,low
17608,31426,1,300,200,30,5,personal,0,1.784655573854279,0.16666666666666666,low
31969,28098,9,300,161,34,1,car,0,0.8788864560525492,4.5,low
16415,38135,8,300,83,30,1,car,0,2.323038499025341,4.0,low
42027,52225,6,300,200,54,4,education,0,1.2426239649757305,1.2,low
58665,2813,0,300,128,47,4,home,0,0.04794940851600586,0.0,low
41440,2791,7,300,200,62,16,personal,0,0.06734876088897469,0.4117647058823529,low
51493,47120,7,300,200,36,1,home,0,0.9150580650172836,3.5,low
38090,23213,1,300,120,35,7,personal,0,0.6094090467564517,0.125,low
53179,35972,6,300,117,62,2,personal,0,0.6764197066566379,2.0,low
28582,10901,4,300,200,38,2,home,0,0.3813805408809432,1.3333333333333333,low
28767,27649,5,300,46,34,5,home,0,0.9611026140155728,0.8333333333333334,low
52374,39836,0,300,200,71,6,personal,0,0.7605918854415274,0.0,low
21136,19649,5,300,5,29,9,personal,0,0.9296021195060794,0.5,low
36095,24154,8,300,117,53,19,personal,0,0.6691600177304965,0.4,low
40156,11811,6,300,70,54,1,personal,0,0.29412057673631,3.0,low
61581,25653,5,300,92,31,10,home,0,0.4165665291806047,0.45454545454545453,low
22639,8996,2,300,117,27,8,car,0,0.3973498233215548,0.2222222222222222,low
37165,22265,2,300,106,30,22,home,0,0.5990690415971587,0.08695652173913043,low
79685,11454,0,300,159,28,9,personal,0,0.14373917626684737,0.0,low
20340,36595,10,300,190,68,1,business,0,1.7990757583206332,5.0,low
104809,11958,2,300,85,32,3,car,0,0.1140921667779792,0.5,low
21347,6068,2,300,126,30,25,home,0,0.2842420835675473,0.07692307692307693,low
23336,19710,7,300,99,66,7,car,0,0.8445815657539529,0.875,low
18047,2680,2,300,200,42,2,car,0,0.14849290780141844,0.6666666666666666,low
49417,2147,1,300,30,46,8,personal,0,0.043445708041604275,0.1111111111111111,low
74325,1464,6,300,110,43,3,business,0,0.019697010467400373,1.5,low
35681,30277,11,300,24,46,5,personal,0,0.848523064850625,1.8333333333333333,low
22641,15653,0,300,200,47,7,education,0,0.6913258546064835,0.0,low
22774,26762,2,300,131,63,8,home,0,1.175060373216246,0.2222222222222222,low
31321,25582,2,300,106,27,15,personal,0,0.8167422259114999,0.125,low
29178,18249,3,300,28,58,25,personal,0,0.6254155385722608,0.11538461538461539,low
41450,3532,2,300,4,45,4,education,1,0.08520904200139924,0.4,low
18077,15569,2,300,80,43,6,personal,0,0.8612125235092377,0.2857142857142857,low
55102,10375,5,300,118,37,7,education,0,0.18828375950492712,0.625,low
32100,5186,0,300,127,80,12,education,0,0.16155259960748886,0.0,low
61404,34237,3,300,126,43,6,car,0,0.5575604592459897,0.42857142857142855,low
27865,12302,7,300,97,30,20,home,0,0.4414698916242015,0.3333333333333333,low
16852,13191,2,300,181,28,15,home,0,0.7827093099151486,0.125,low
53250,34618,0,300,43,42,17,home,0,0.6500910781018197,0.0,low
18484,29052,1,300,110,64,3,business,0,1.5716526913713822,0.25,low
42691,56597,11,300,109,29,6,car,0,1.3257050501264873,1.5714285714285714,low
20424,26575,6,300,175,49,6,education,0,1.3011015911872705,0.8571428571428571,low
71180,25041,8,300,148,42,11,personal,0,0.35179331563198046,0.6666666666666666,low
39097,8263,2,300,24,44,7,home,1,0.2113407335413576,0.25,low
27938,35997,8,300,98,80,2,car,0,1.2884140448834962,2.6666666666666665,low
37499,21791,2,300,113,37,8,personal,0,0.5810933333333334,0.2222222222222222,low
58424,2190,3,300,200,61,15,home,0,0.03748395378690629,0.1875,low
49044,14823,2,300,173,52,15,home,0,0.30223264349067186,0.125,low
45342,3684,6,300,82,56,1,car,0,0.08124738107315352,3.0,low
28974,12244,6,300,200,58,8,home,0,0.42257118205349437,0.6666666666666666,low
66514,2371,4,300,72,43,3,personal,0,0.03564609486581974,1.0,low
31409,6685,10,300,46,36,27,personal,0,0.2128303088188475,0.35714285714285715,low
34320,4846,1,300,200,27,6,business,0,0.14119635208764314,0.14285714285714285,low
22358,5109,6,300,124,69,9,personal,0,0.2284985911713404,0.6,low
37327,40140,3,300,94,51,5,personal,0,1.0753321903129018,0.5,low
29572,7021,5,300,199,61,9,home,0,0.23741250464951139,0.5,low
68040,52103,3,300,200,80,3,personal,0,0.7657588806748872,0.75,low
42757,87832,2,300,1,64,6,education,0,2.054165302399551,0.2857142857142857,low
53477,3923,2,300,7,52,1,personal,0,0.0733572684094394,1.0,low
24126,37294,8,300,200,54,15,personal,0,1.5457371409624072,0.5,low
29144,6472,6,300,71,28,18,car,0,0.22206210327671985,0.3157894736842105,low
35028,43698,6,300,200,46,5,home,0,1.2474806588826401,1.0,low
15522,27675,12,300,111,32,8,home,0,1.7828383688719964,1.3333333333333333,low
30304,26326,4,300,108,49,7,car,0,0.868701534400264,0.5,low
38633,20709,11,300,9,57,7,personal,0,0.5360304395092406,1.375,low
16524,20465,8,300,200,49,17,personal,0,1.238426626323752,0.4444444444444444,low
29332,8731,4,300,8,40,2,home,0,0.29765110967170083,1.3333333333333333,low
31127,61502,2,300,200,33,4,education,0,1.9757774351066564,0.4,low
36028,9561,3,300,53,40,16,car,0,0.26536956340725526,0.17647058823529413,low
41269,1696,9,300,200,25,10,home,0,0.041095226556820935,0.8181818181818182,low
32555,5915,2,300,86,53,9,home,0,0.1816869394274481,0.2,low
24437,16594,1,300,66,30,11,car,1,0.6790244700875685,0.08333333333333333,low
36437,2434,4,300,28,49,7,personal,0,0.06679839727756738,0.5,low
43872,69941,0,300,200,63,0,car,0,1.594169534793609,0.0,low
43447,4388,2,300,200,67,11,education,0,0.10099429202725096,0.16666666666666666,low
18454,35825,8,300,200,72,0,personal,0,1.9412083446220536,8.0,low
27112,4858,4,300,51,45,27,car,0,0.17917604101353593,0.14285714285714285,low
58891,56358,6,300,27,57,12,personal,0,0.9569720844936493,0.46153846153846156,low
46162,51350,9,300,200,57,9,personal,0,1.1123627147282455,0.9,low
48981,2587,5,300,133,31,18,car,0,0.05281531991343759,0.2631578947368421,low
37022,17109,6,300,66,27,24,education,0,0.46211814277611213,0.24,low
38674,16176,2,300,3,42,11,car,0,0.4182546864899806,0.16666666666666666,low
18792,27295,7,300,114,33,15,car,0,1.4524024902889374,0.4375,low
64624,36366,5,300,34,65,2,home,0,0.5627234042553192,1.6666666666666667,low
45546,79146,10,300,91,52,6,business,0,1.7376775638351594,1.4285714285714286,low
76771,31766,2,300,81,66,16,education,0,0.413770645547856,0.11764705882352941,low
19041,17407,7,300,200,54,13,home,0,0.9141371704652873,0.5,low
19437,24369,6,300,16,44,2,car,0,1.2536783619713963,2.0,low
21555,32812,7,300,39,33,9,personal,0,1.522174800519577,0.7,low
71158,34462,10,300,0,49,6,home,0,0.48429573209291865,1.4285714285714286,low
27245,31845,1,300,200,70,0,home,0,1.168795419511121,1.0,low
19990,26753,9,300,200,40,3,education,0,1.3382522134960733,2.25,low
66007,5538,5,300,5,43,14,personal,0,0.08389892134286753,0.3333333333333333,low
69574,23883,1,300,200,57,3,home,0,0.3432698526769673,0.25,low
49590,16421,4,300,194,37,3,business,0,0.33112863221148997,1.0,low
23486,74630,5,300,15,51,15,personal,0,3.1775024481628136,0.3125,low
56693,4628,4,300,23,38,7,home,0,0.08163121317952517,0.5,low
64249,2260,4,300,26,34,13,personal,0,0.03517509727626459,0.2857142857142857,low
42082,6055,1,300,171,39,15,car,0,0.1438823277808141,0.0625,low
69217,4800,1,300,172,67,11,business,0,0.06934612384061949,0.08333333333333333,low
40554,1824,4,300,200,45,17,business,0,0.044975958574774995,0.2222222222222222,low
29009,26171,0,300,41,38,20,education,0,0.90213719407101,0.0,low
34078,2909,2,300,147,31,5,home,0,0.08536048592975146,0.3333333333333333,low
34283,9135,0,300,159,58,17,personal,0,0.26645082254112706,0.0,low
54492,7613,5,300,66,31,28,car,0,0.13970601728662396,0.1724137931034483,low
26252,15991,7,300,36,31,25,home,0,0.6091113396564202,0.2692307692307692,low
72660,9191,4,300,200,29,6,home,0,0.12649151539340223,0.5714285714285714,low
45809,26598,1,300,119,41,7,education,0,0.5806155861165684,0.125,low
61328,26789,12,300,135,25,2,business,0,0.43680803535032364,4.0,low
43475,14883,2,300,36,41,13,home,0,0.34232680099365165,0.14285714285714285,low
36804,41424,3,300,200,52,3,education,0,1.1254992528189105,0.75,low
23048,7112,2,300,200,50,18,home,0,0.3085600242960649,0.10526315789473684,low
53806,28751,4,300,89,28,4,business,0,0.5343356812310666,0.8,low
41939,41118,1,300,162,56,1,home,0,0.9804005722460658,0.5,low
61147,82116,9,300,200,39,14,business,0,1.3429057369006345,0.6,low
24162,37946,2,300,45,31,3,car,1,1.5704175805984357,0.5,low
20692,8044,0,300,200,29,21,personal,0,0.38873048857101433,0.0,low
48635,28427,3,300,200,28,10,home,0,0.5844847438111687,0.2727272727272727,low
26309,45535,9,300,200,46,3,car,0,1.7307107563664006,2.25,low
49902,49743,6,300,116,36,10,home,0,0.9967937799330702,0.5454545454545454,low
35451,8467,4,300,165,40,19,personal,0,0.23882996727970213,0.2,low
37982,33895,8,300,74,51,2,personal,0,0.8923729036674302,2.6666666666666665,low
53840,16998,7,300,150,40,6,car,0,0.31570736056165377,1.0,low
51645,15121,5,300,162,44,1,business,0,0.2927816287805445,2.5,low
49733,56216,5,300,30,56,4,personal,0,1.1303333735472716,1.0,low
23984,21757,5,300,1,47,10,education,0,0.907108609547634,0.45454545454545453,low
81869,28231,7,300,114,32,1,education,0,0.344827165017711,3.5,low
66414,50251,3,300,200,80,15,home,0,0.7566212452006323,0.1875,low
81032,11702,8,300,112,38,3,home,0,0.1444103019757383,2.0,low
28687,22672,1,300,26,29,24,personal,0,0.7902955939765756,0.04,low
30093,14138,1,300,9,30,7,personal,0,0.4697946434505217,0.125,low
48254,11529,3,300,153,49,27,business,0,0.23891824681380167,0.10714285714285714,low
33299,28714,0,300,93,40,0,car,0,0.8622822822822823,0.0,low
36886,4529,3,300,12,42,15,car,0,0.12278038333288151,0.1875,low
41159,27279,0,300,116,80,15,personal,0,0.6627551020408163,0.0,low
28786,16684,7,300,24,31,9,personal,0,0.5795671657345329,0.7,low
35290,16818,6,300,41,34,1,personal,0,0.47655209543509675,3.0,low
29716,3585,12,300,0,44,1,personal,0,0.12063801864252785,6.0,low
69173,32865,1,300,200,49,3,business,0,0.4751062537947784,0.25,low
72541,39916,7,300,200,49,2,home,0,0.5502467536048082,2.3333333333333335,low
16498,45504,8,300,133,54,5,home,0,2.7579853324443904,1.3333333333333333,low
28473,18093,1,300,46,68,1,personal,0,0.6354217882980965,0.5,low
71876,7542,6,300,200,66,3,business,0,0.10492925414249342,1.5,low
30130,7447,4,300,200,46,7,home,0,0.24715409379044836,0.5,low
89355,3372,1,300,121,49,5,home,0,0.037736693674739245,0.16666666666666666,low
40933,10035,8,300,96,32,15,business,0,0.24515073044412958,0.5,low
19830,36855,7,300,13,80,8,home,0,1.858453935757148,0.7777777777777778,low
36124,28761,9,300,116,35,12,home,0,0.7961522491349481,0.6923076923076923,low
39571,22285,3,300,14,29,11,education,0,0.5631507126250884,0.25,low
33469,11714,4,300,70,43,8,business,0,0.34998506124887957,0.4444444444444444,low
64696,38102,3,300,123,26,16,business,0,0.588929934927431,0.17647058823529413,low
16557,13121,6,300,200,76,10,home,0,0.7924266215726538,0.5454545454545454,low
22871,22997,1,300,58,28,6,personal,0,1.005465197621546,0.14285714285714285,low
63468,13054,1,300,200,52,3,home,0,0.20567521152058485,0.25,low
47966,12957,2,300,18,39,11,car,0,0.27012320970667336,0.16666666666666666,low
34061,6908,2,300,200,36,10,personal,0,0.20280664670307086,0.18181818181818182,low
87575,33504,2,300,200,57,2,business,0,0.3825705672787065,0.6666666666666666,low
51592,30089,9,300,85,58,1,personal,0,0.5831992712189639,4.5,low
23992,12084,4,300,74,28,14,business,0,0.5036468970116283,0.26666666666666666,low
49555,13362,8,300,200,30,12,education,0,0.26963435305512956,0.6153846153846154,low
47710,5021,2,300,88,38,8,home,0,0.10523778583555154,0.2222222222222222,low
46150,41499,1,300,175,57,6,car,0,0.8992004506944595,0.14285714285714285,low
35565,1973,3,300,115,28,22,car,0,0.05547432941573413,0.13043478260869565,low
40089,7693,6,300,114,34,21,home,0,0.19189324020952855,0.2727272727272727,low
56636,23568,0,300,145,57,7,personal,0,0.4161237353673394,0.0,low
36515,36409,0,300,14,76,12,car,0,0.9970697776317231,0.0,low
23341,36917,1,300,17,60,20,personal,1,1.581569702681861,0.047619047619047616,low
25755,1498,8,300,45,57,5,business,0,0.058161205156080135,1.3333333333333333,low
28565,18128,4,300,91,42,11,personal,0,0.6346005741090808,0.3333333333333333,low
31880,37482,1,300,68,29,6,education,0,1.175684577020796,0.14285714285714285,low
72926,34635,2,300,30,76,15,education,0,0.47492698177629683,0.125,low
54052,27546,5,300,198,44,3,education,0,0.5096109374132796,1.25,low
25977,7364,3,300,186,37,0,home,0,0.28347062899376396,3.0,low
25646,12914,3,300,29,26,3,personal,1,0.5035286778180684,0.75,low
35677,5486,5,300,11,34,8,car,0,0.15376422445204327,0.5555555555555556,low
30438,4217,0,300,138,52,5,home,0,0.13853937382962647,0.0,low
86611,5656,1,300,3,42,10,business,1,0.06530272941393803,0.09090909090909091,low
63362,39326,7,300,126,46,9,home,0,0.6206461183971719,0.7,low
41198,8467,10,300,27,47,2,personal,0,0.20551469695866403,3.3333333333333335,low
22276,19580,1,300,53,45,0,personal,0,0.8789334290972752,1.0,low
53911,25082,2,300,188,47,3,personal,0,0.4652396497996735,0.5,low
37711,4663,6,300,60,30,10,car,0,0.12364764531183708,0.5454545454545454,low
84072,41842,1,300,69,33,21,home,0,0.49768653432136356,0.045454545454545456,low
15593,13253,5,300,30,51,5,personal,0,0.8498781582659998,0.8333333333333334,low
61022,25088,4,300,37,56,5,car,0,0.4111236746800387,0.6666666666666666,low
45090,3571,5,300,73,41,0,personal,0,0.07919540484797409,5.0,low
65119,3002,2,300,105,56,7,personal,0,0.0460995085995086,0.25,low
22954,14953,3,300,112,47,10,personal,0,0.6514049226747985,0.2727272727272727,low
44869,61028,12,300,184,30,1,car,0,1.3601069757075996,6.0,low
16523,21149,12,300,24,53,0,car,0,1.2798959089808764,12.0,low
48559,17224,2,300,200,75,4,personal,0,0.35469522240527185,0.4,low
26942,8300,2,300,118,33,6,car,0,0.3080577515495676,0.2857142857142857,low
65696,22936,7,300,39,29,4,home,0,0.3491179201485608,1.4,low
17546,6892,3,300,105,50,15,education,0,0.39277369350886193,0.1875,low
41917,20720,4,300,29,48,20,personal,1,0.4942983920988597,0.19047619047619047,low
102730,18312,3,300,200,58,24,business,0,0.17825193953139754,0.12,low
44996,9499,8,300,18,31,16,education,0,0.21110296241971688,0.47058823529411764,low
51788,3425,3,300,74,28,8,home,0,0.06613373496302304,0.3333333333333333,low
15993,1181,5,300,111,28,1,business,0,0.07384019007127673,2.5,low
38381,5128,4,300,164,46,12,personal,0,0.13360429367932886,0.3076923076923077,low
52688,7182,7,300,89,29,4,home,0,0.13630928656835392,1.4,low
22581,38526,1,300,79,55,11,education,0,1.706049065627491,0.08333333333333333,low
58414,37226,0,300,200,25,1,personal,0,0.6372678250449371,0.0,low
70904,19571,2,300,200,53,19,personal,0,0.27601720612086594,0.1,low
23198,16650,1,300,60,39,17,business,0,0.7177033492822966,0.05555555555555555,low
65786,1696,2,300,59,33,8,personal,0,0.025780169334366974,0.2222222222222222,low
58488,8827,1,300,41,35,3,car,0,0.15091726649455453,0.25,low
36838,24507,8,300,53,37,9,car,0,0.6652460707402481,0.8,low
25100,31149,3,300,200,34,16,personal,0,1.2409465758336322,0.17647058823529413,low
31243,17288,12,300,74,35,9,personal,0,0.5533222378696709,1.2,low
47350,17460,4,300,200,26,15,personal,0,0.36873561276425,0.25,low
30645,36731,0,300,200,29,15,personal,0,1.1985577236833518,0.0,low
18293,17919,2,300,139,27,7,education,0,0.9795014758937356,0.25,low
33282,31445,1,300,121,76,9,education,0,0.9447766126851546,0.1,low
25838,57123,8,300,143,58,6,personal,0,2.210727969348659,1.1428571428571428,low
28377,33090,8,300,9,28,6,business,0,1.1660441186834871,1.1428571428571428,low
64406,27243,7,300,189,38,5,personal,0,0.4229819740090363,1.1666666666666667,low
58775,15575,7,300,200,67,7,personal,0,0.2649891112018511,0.875,low
53546,11391,1,300,76,30,5,personal,0,0.21272900442601828,0.16666666666666666,low
46147,36321,4,300,200,28,4,car,0,0.787054693594522,0.8,low
28338,50172,3,300,20,66,2,car,0,1.770422386111013,1.0,low
52747,35287,5,300,187,52,14,home,0,0.6689732312125578,0.3333333333333333,low
52512,12032,7,300,82,33,13,education,0,0.2291242168605869,0.5,low
32396,12749,3,300,193,29,20,home,0,0.39352409173688924,0.14285714285714285,low
100751,78335,4,300,200,80,21,education,0,0.7775031761156106,0.18181818181818182,low
21808,15391,2,300,5,47,10,education,1,0.7057178229171442,0.18181818181818182,low
40001,7449,8,300,93,35,2,car,0,0.18621568921553922,2.6666666666666665,low
23720,37190,3,300,134,57,1,education,0,1.5678091142869188,1.5,low
28891,30699,7,300,47,60,7,home,0,1.0625432645715076,0.875,low
50095,1572,5,300,51,31,6,home,0,0.031379750878313635,0.7142857142857143,low
53087,27764,6,300,200,35,3,personal,0,0.5229807112718505,1.5,low
21187,43378,3,300,90,37,17,car,0,2.047290919388333,0.16666666666666666,low
28478,25279,1,300,81,35,1,home,0,0.8876365040907335,0.5,low
48598,12693,2,300,14,51,1,education,1,0.2611782135434885,1.0,low
44772,31989,2,300,200,28,28,personal,0,0.7144707747973109,0.06896551724137931,low
23781,21338,4,300,136,30,3,home,0,0.8972332015810277,1.0,low
35721,7707,0,300,18,44,2,business,0,0.2157493981300039,0.0,low
38320,30454,5,300,160,41,2,home,0,0.7947078625296835,1.6666666666666667,low
48266,69555,2,300,200,25,2,home,0,1.4410466778544346,0.6666666666666666,low
45224,29981,8,300,18,31,4,education,0,0.662929795467109,1.6,low
20894,49542,5,300,165,26,12,education,0,2.3709978463747308,0.38461538461538464,low
29034,17185,5,300,146,61,5,business,0,0.5918718787670053,0.8333333333333334,low
34454,25444,8,300,25,28,10,personal,0,0.7384704687273255,0.7272727272727273,low
53955,8559,5,300,117,26,9,personal,0,0.15862925346578693,0.5,low
61491,1875,8,300,31,67,2,education,0,0.030491771287321928,2.6666666666666665,low
53240,12482,5,300,200,39,12,car,0,0.23444338010180124,0.38461538461538464,low
58575,3589,6,300,97,56,6,personal,0,0.06127082764272057,0.8571428571428571,low
41720,4073,8,300,55,61,7,car,0,0.09762469739459745,1.0,low
23300,35194,8,300,170,44,4,car,0,1.5104072786575684,1.6,low
35301,10577,3,300,66,46,17,home,0,0.2996147527052292,0.16666666666666666,low
40253,37894,2,300,46,41,0,home,0,0.9413722859840016,2.0,low
31021,1471,3,300,5,40,21,personal,0,0.047417961446715236,0.13636363636363635,low
54637,42025,6,300,155,66,4,personal,0,0.7691533365057286,1.2,low
20183,11974,4,300,97,29,16,business,0,0.5932421720174396,0.23529411764705882,low
68145,6492,9,300,46,26,1,car,0,0.09526604642972442,4.5,low
69057,1441,3,300,112,57,5,home,0,0.020866517999362854,0.5,low
91804,18879,0,300,14,64,29,home,1,0.20564239420510866,0.0,low
41545,30812,1,300,121,29,5,car,0,0.7416357772108025,0.16666666666666666,low
65382,9962,8,300,200,26,20,education,0,0.1523637642812352,0.38095238095238093,low
19786,6905,6,300,6,39,17,personal,0,0.34896649315206957,0.3333333333333333,low
19135,7622,7,300,27,36,17,business,0,0.39830685618729095,0.3888888888888889,low
43725,40834,4,300,16,27,26,car,0,0.9338608608150757,0.14814814814814814,low
85609,29464,4,300,88,48,9,personal,0,0.34416540123817313,0.4,low
71306,23618,6,300,24,54,1,personal,0,0.33121572917104913,3.0,low
32821,18777,1,300,200,63,20,education,0,0.5720857961123637,0.047619047619047616,low
37006,2438,2,300,28,80,2,business,0,0.06587942821628341,0.6666666666666666,low
17859,17832,1,300,82,45,1,car,0,0.9984322508398656,0.5,low
43692,7358,4,300,116,37,5,home,0,0.16840226123177626,0.6666666666666666,low
39625,8218,1,300,200,45,0,car,0,0.20738908797254327,1.0,low
25559,7823,5,300,72,29,13,personal,0,0.3060641627543036,0.35714285714285715,low
24865,3755,4,300,71,32,3,home,0,0.15100941043995816,1.0,low
46930,28188,0,300,190,58,14,home,0,0.6006264515991562,0.0,low
42896,27544,2,300,44,78,7,home,0,0.6420961838823228,0.25,low
34588,2844,3,300,186,80,17,home,0,0.08222267194772905,0.16666666666666666,low
23422,9669,1,300,54,59,4,personal,0,0.41279938521965587,0.2,low
64712,20485,2,300,134,52,15,personal,0,0.3165515429666373,0.125,low
17540,40551,4,300,200,28,7,education,0,2.3117838207627845,0.5,low
21283,25908,0,300,200,80,2,home,1,1.2172523961661341,0.0,low
56481,36948,2,300,200,48,5,education,0,0.6541553061152225,0.3333333333333333,low
55039,2215,3,300,41,27,4,education,0,0.040243459302325583,0.6,low
76913,10414,7,300,168,44,14,home,0,0.13539797696128142,0.4666666666666667,low
34157,26599,1,300,200,70,6,car,0,0.7787048422038761,0.14285714285714285,low
38799,36614,6,300,190,29,10,car,0,0.943659793814433,0.5454545454545454,low
20544,40018,5,300,200,41,7,business,0,1.9478218544658068,0.625,low
31919,5436,7,300,24,32,18,business,0,0.17030075187969926,0.3684210526315789,low
22665,11297,0,300,150,70,13,home,0,0.49841171799170564,0.0,low
30642,27343,3,300,5,57,16,car,0,0.8923081943673922,0.17647058823529413,low
33288,9136,2,300,140,28,2,business,0,0.27444501186578146,0.6666666666666666,low
28069,34609,4,300,22,80,22,education,0,1.2329533309583185,0.17391304347826086,low
22375,79388,6,300,128,80,11,personal,0,3.547908473364319,0.5,low
66512,9746,5,300,200,55,10,business,0,0.14652774645558012,0.45454545454545453,low
56510,34033,3,300,22,28,1,home,0,0.6022367326715152,1.5,low
61736,27332,3,300,121,37,12,home,0,0.44271668529407,0.23076923076923078,low
37834,10880,3,300,23,35,6,business,0,0.28756442447469277,0.42857142857142855,low
40529,2190,4,300,158,28,10,home,0,0.0540340488527017,0.36363636363636365,low
32328,5292,6,300,123,46,6,education,0,0.16369204120139813,0.8571428571428571,low
31339,4141,2,300,200,77,11,personal,0,0.13213146139119336,0.16666666666666666,low
25994,7928,8,300,84,25,12,education,0,0.3049817272552414,0.6153846153846154,low
26928,7005,3,300,200,37,9,car,0,0.26012848601879013,0.3,low
33012,42153,7,300,75,35,3,business,0,1.276860630660649,1.75,low
36656,44821,4,300,7,44,2,education,0,1.222713260768748,1.3333333333333333,low
27660,41729,3,300,175,33,27,education,0,1.5085860959473627,0.10714285714285714,low
38083,56700,9,300,197,38,1,personal,0,1.4888142001890559,4.5,low
24986,14178,4,300,45,29,21,car,0,0.5674150558290311,0.18181818181818182,low
32220,1755,11,300,101,28,10,personal,0,0.05446758325315788,1.0,low
16619,26729,1,300,4,29,15,personal,0,1.6082430806257522,0.0625,low
